x,y,z
0.30703,-1.5399399999999999,-2.46917
5.078119999999999,-1.74232,9.5252
11.58377,-11.17888,11.23615
-8.119589999999999,-9.66795,5.79024
-4.86795,1.98807,-4.6737
9.665410000000001,9.98441,-6.1809
-11.426810000000001,-3.46867,-0.6571100000000001
8.62612,6.765619999999999,-7.77014
-0.92195,-9.474,3.4912099999999997
12.59033,7.60129,-5.29836
-12.682030000000001,0.31025,12.19293
1.1680700000000002,5.54951,-10.99067
11.5342,-6.62015,12.07183
-5.520569999999999,4.85035,11.73423
-6.17711,-8.894969999999999,-1.07528
-11.45133,9.2343,-12.76147
3.66612,-11.697239999999999,0.5917899999999999
2.13726,3.86615,1.70177
10.81944,-5.24889,5.3346599999999995
2.26945,-1.17953,3.88279
-5.52021,2.6767,-11.536660000000001
-5.91575,1.41784,11.2251
-3.9054599999999997,10.2208,12.66114
1.87972,-7.71789,-0.0069700000000000005
-10.83592,-8.23735,-10.493160000000001
-11.94838,-2.3182099999999997,-3.8738300000000003
-11.40821,-4.79249,-7.63468
12.26321,-3.2357299999999998,12.65734
-3.1080900000000002,-11.18673,-7.13492
11.76515,1.28377,5.9143099999999995
12.99342,11.73511,-5.7958
2.78382,0.28417,0.08207
-11.40123,4.94383,11.2038
-12.529810000000001,-12.48902,4.7964199999999995
-5.9044099999999995,-5.07673,-2.53823
5.56304,-5.35367,-12.68032
4.6386400000000005,-7.24597,7.2130399999999995
-7.169860000000001,9.05728,5.8084
5.494,8.625160000000001,8.65044
-6.69678,-9.064219999999999,2.3396
3.57769,7.61515,3.51841
-7.83573,-6.0946,-9.68781
9.21255,-8.37176,1.7299200000000001
11.56895,-1.8292700000000002,-1.2052200000000002
0.9950899999999999,2.1701799999999998,4.93052
-10.77767,9.29336,0.30377
9.22592,11.33558,0.7229800000000001
-2.2869599999999997,-4.82368,-4.97777
-4.77169,-2.50427,-9.05955
6.97117,9.15051,-3.6945699999999997
9.51683,6.5311,-4.3601
6.38319,2.61808,12.31889
2.95792,-8.46162,10.72327
-9.28753,2.30783,12.58193
7.67192,-12.983310000000001,5.64407
7.0925,-12.66284,-6.4031199999999995
-4.0595300000000005,-11.22829,1.63342
-8.55302,6.99171,-5.02635
-10.7284,9.08169,4.1999699999999995
-10.12235,10.20084,9.28701
8.175469999999999,12.93999,9.993960000000001
-1.68975,0.18821,-5.20522
-5.06914,4.23037,3.7119400000000002
8.06965,5.3141300000000005,-12.6107
-5.1524,-11.96989,-11.848410000000001
4.9516,-8.418619999999999,1.40297
-11.3195,10.36022,-9.329039999999999
